report_date,statement,code,sector,level,is_priority_sector_memo,parent_code,parent_statement,date,outstanding_cr
2026-02-27,Statement 2,2.14.1,Electronics,3,False,2.14,Statement 2,2025-03-21,52863.096541
2026-02-27,Statement 2,2.14.1,Electronics,3,False,2.14,Statement 2,2026-01-31,64380.15052
2026-02-27,Statement 2,2.14.2,Others,3,False,2.14,Statement 2,2024-01-26,149595.982549
2026-02-27,Statement 2,2.14.2,Others,3,False,2.14,Statement 2,2024-03-22,153468.139546
2026-02-27,Statement 2,2.14.2,Others,3,False,2.14,Statement 2,2025-01-24,177898.943634
2026-02-27,Statement 2,2.14.2,Others,3,False,2.14,Statement 2,2025-03-21,187272.797732
2026-02-27,Statement 2,2.14.2,Others,3,False,2.14,Statement 2,2026-01-31,246983.092688
2026-02-27,Statement 2,2.15,"Vehicles, Vehicle Parts and Transport Equipment",2,False,2,Statement 1,2024-01-26,109390.672239
2026-02-27,Statement 2,2.15,"Vehicles, Vehicle Parts and Transport Equipment",2,False,2,Statement 1,2024-03-22,113547.869646
2026-02-27,Statement 2,2.15,"Vehicles, Vehicle Parts and Transport Equipment",2,False,2,Statement 1,2025-01-24,118077.468964
